,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,-additional
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,-9999
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,15:03,brownco02
2,Travis Dermott,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,22,18:02,dermotr01
3,Tyler Ennis,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,13,10:49,ennisty01
4,Jake Gardiner,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,23,18:13,gardija01
5,Frederik Gauthier,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,10,6:31,gauthfr01
6,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:24,hainsro01
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:43,johnsan01
8,Nazem Kadri,0,0,0,-1,4,0,0,0,0,0,0,0,6,0.0,22,17:54,kadrina01
9,Kasperi Kapanen,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,20,15:07,kapanka01
10,Pär Lindholm,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,11:12,lindhpa01
11,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:14,marlepa01
12,Mitch Marner,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,27,21:23,marnemi01
13,Auston Matthews,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,22:03,matthau01
14,William Nylander,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,23,16:00,nylanwi01
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,14:49,ozhigig01
16,Morgan Rielly,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,22:21,riellmo01
17,John Tavares,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,23,19:10,tavarjo01
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:48,zaitsni01
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:40,anderfr01
,TOTAL,1,0,1,,8,1,0,0,,,,,49,2.0,,,-999
