,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,-additional
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,-9999
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:13,brownco02
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,30,21:45,dermotr01
3,Jake Gardiner,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,20:17,gardija01
4,Frederik Gauthier,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,9:30,gauthfr01
5,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,17:16,hainsro01
6,Andreas Johnsson,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,19,16:07,johnsan01
7,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:23,kadrina01
8,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,14:32,kapanka01
9,Pär Lindholm,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:14,lindhpa01
10,Patrick Marleau,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,16:16,marlepa01
11,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,18:54,marnemi01
12,Auston Matthews,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,16:54,matthau01
13,Trevor Moore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:16,mooretr01
14,William Nylander,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,20,16:18,nylanwi01
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,18:12,ozhigig01
16,Morgan Rielly,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,25,21:03,riellmo01
17,John Tavares,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,21,17:17,tavarjo01
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:42,zaitsni01
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:59,sparkga01
,TOTAL,0,0,0,,6,0,0,0,,,,,36,0.0,,,-9999
