,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,-additional
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,-9999
1,Connor Brown,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,14:07,brownco02
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,20:48,dermotr01
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:46,ennisty01
4,Jake Gardiner,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:47,gardija01
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:55,gauthfr01
6,Ron Hainsey,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,19:28,hainsro01
7,Andreas Johnsson,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:34,johnsan01
8,Nazem Kadri,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,20,13:06,kadrina01
9,Kasperi Kapanen,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,18:46,kapanka01
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:41,lindhpa01
11,Martin Marinčin,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,29,19:04,marinma01
12,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:33,marlepa01
13,Mitch Marner,1,2,3,1,0,0,1,0,0,1,1,0,3,33.3,26,18:26,marnemi01
14,Auston Matthews,2,2,4,2,0,1,1,0,1,0,2,0,3,66.7,25,17:41,matthau01
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:37,nylanwi01
16,Morgan Rielly,0,4,4,2,0,0,0,0,0,2,2,0,2,0.0,27,19:27,riellmo01
17,John Tavares,2,0,2,1,0,1,1,0,0,0,0,0,4,50.0,24,16:40,tavarjo01
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,30,21:02,zaitsni01
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00,anderfr01
,TOTAL,6,12,18,,6,3,3,0,,,,,26,23.1,,,-9999
