Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,15:13
2,Tyler Ennis,3,0,3,2,0,2,1,0,0,0,0,0,6,50.0,18,11:48
3,Frederik Gauthier,0,0,0,2,0,0,0,0,0,0,0,0,0,,17,10:37
4,Ron Hainsey,0,0,0,3,0,0,0,0,0,0,0,0,3,0.0,30,22:39
5,Zach Hyman,2,0,2,3,0,2,0,0,1,0,0,0,4,50.0,24,17:16
6,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:32
7,Kasperi Kapanen,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,22,15:30
8,Martin Marinčin,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,20,15:03
9,Patrick Marleau,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:19
10,Mitch Marner,1,2,3,3,0,1,0,0,0,2,0,0,2,50.0,23,17:28
11,Auston Matthews,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,23,16:38
12,Trevor Moore,0,2,2,2,0,0,0,0,0,2,0,0,0,,17,10:33
13,Jake Muzzin,0,2,2,1,0,0,0,0,0,1,1,0,0,,28,21:47
14,William Nylander,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,16:28
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,16:30
16,Morgan Rielly,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,27,22:28
17,John Tavares,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,24,18:23
18,Nikita Zaitsev,0,0,0,2,0,0,0,0,0,0,0,0,0,,26,19:56
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:42
