Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:04
2,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:14
3,Jake Gardiner,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,26,22:07
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:02
5,Ron Hainsey,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,28,20:19
6,Zach Hyman,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,26,17:06
7,Nazem Kadri,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,23,17:55
8,Kasperi Kapanen,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,21,14:44
9,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,11:21
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:31
11,Martin Marinčin,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,13:05
12,Patrick Marleau,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,24,19:34
13,Mitch Marner,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,25,20:26
14,Auston Matthews,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,9,7:38
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:13
16,Morgan Rielly,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,29,25:00
17,John Tavares,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,25,20:56
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,20:21
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
