Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,14:53
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,24,17:17
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,7:22
4,Jake Gardiner,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,28,23:45
5,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:44
6,Zach Hyman,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,24,14:57
7,Andreas Johnsson,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,20,14:05
8,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,18:29
9,Kasperi Kapanen,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,26,17:26
10,Pär Lindholm,0,0,0,-1,2,0,0,0,0,0,0,0,0,,13,8:21
11,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:45
12,Mitch Marner,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,30,21:00
13,Auston Matthews,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,20:39
14,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,12:29
15,Igor Ozhiganov,0,1,1,0,0,0,0,0,0,1,0,0,0,,18,13:07
16,Morgan Rielly,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,31,23:42
17,John Tavares,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,29,20:52
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,20:31
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,62:48
