Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,15:34
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,17:05
3,Tyler Ennis,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,17,13:09
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,11:00
5,Ron Hainsey,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,27,20:12
6,Zach Hyman,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,19,15:17
7,Andreas Johnsson,2,0,2,1,0,1,1,0,1,0,0,0,3,66.7,25,15:29
8,Kasperi Kapanen,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,13:44
9,Patrick Marleau,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,22,15:56
10,Mitch Marner,1,2,3,0,0,1,0,0,0,0,2,0,1,100.0,24,17:21
11,Auston Matthews,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,26,18:24
12,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:23
13,Jake Muzzin,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,29,21:33
14,William Nylander,1,1,2,1,0,0,1,0,0,0,1,0,1,100.0,25,18:14
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:08
16,Morgan Rielly,0,0,0,2,2,0,0,0,0,0,0,0,4,0.0,28,21:04
17,John Tavares,1,1,2,0,0,0,1,0,0,0,1,0,7,14.3,22,17:40
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:45
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
