Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,1,0,1,2,0,1,0,0,0,0,0,0,5,20.0,23,16:49
2,Travis Dermott,0,0,0,4,0,0,0,0,0,0,0,0,2,0.0,23,19:37
3,Jake Gardiner,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,28,20:04
4,Frederik Gauthier,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,17,11:20
5,Ron Hainsey,0,0,0,4,0,0,0,0,0,0,0,0,2,0.0,24,20:18
6,Zach Hyman,0,2,2,0,2,0,0,0,0,2,0,0,3,0.0,20,13:42
7,Andreas Johnsson,2,2,4,3,0,2,0,0,1,1,1,0,4,50.0,17,11:51
8,Nazem Kadri,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,20,17:29
9,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,14:49
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:56
11,Patrick Marleau,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,16:11
12,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,16:19
13,Auston Matthews,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,16:50
14,Jake Muzzin,1,2,3,1,0,0,1,0,0,2,0,0,3,33.3,24,18:01
15,William Nylander,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,23,16:43
16,Morgan Rielly,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,19:04
17,John Tavares,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,22,16:33
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,20:30
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:54
