Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,14:21
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,15:36
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,7:54
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:51
5,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,30,23:26
6,Zach Hyman,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,19:23
7,Nazem Kadri,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,18,13:06
8,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,20:15
9,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,15,10:58
10,Mitch Marner,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,22:54
11,Auston Matthews,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,19:26
12,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:09
13,Jake Muzzin,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,20:35
14,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:04
15,Morgan Rielly,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,29,24:18
16,Calle Rosén,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,16,9:37
17,John Tavares,1,0,1,1,2,1,0,0,1,0,0,0,2,50.0,19,18:47
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,25,23:15
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:51
