Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:55
2,Travis Dermott,0,0,0,-2,2,0,0,0,0,0,0,0,0,,20,16:14
3,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,18:52
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:31
5,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,19:01
6,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,16:58
7,Andreas Johnsson,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,12:20
8,Nazem Kadri,2,0,2,1,0,1,1,0,1,0,0,0,3,66.7,19,14:58
9,Kasperi Kapanen,2,0,2,0,2,1,1,0,0,0,0,0,4,50.0,24,15:36
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,11:20
11,Patrick Marleau,0,1,1,0,0,0,0,0,0,0,1,0,0,,23,17:05
12,Mitch Marner,0,1,1,-1,0,0,0,0,0,0,1,0,0,,23,18:40
13,Auston Matthews,1,2,3,0,0,0,1,0,0,1,1,0,4,25.0,25,18:16
14,Jake Muzzin,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,24,18:12
15,William Nylander,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,19,13:21
16,Morgan Rielly,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,22:37
17,John Tavares,0,2,2,0,0,0,0,0,0,0,2,0,2,0.0,22,18:19
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,19:45
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
