Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:38
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:53
3,Jake Gardiner,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,21:46
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:04
5,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,18:25
6,Zach Hyman,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,17:58
7,Andreas Johnsson,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,22,15:42
8,Nazem Kadri,0,1,1,-2,0,0,0,0,0,0,1,0,4,0.0,23,17:51
9,Kasperi Kapanen,0,2,2,0,0,0,0,0,0,1,1,0,0,,25,15:03
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,7:46
11,Patrick Marleau,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,22,16:22
12,Mitch Marner,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,25,19:41
13,Auston Matthews,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,24,16:15
14,William Nylander,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,16:52
15,Igor Ozhiganov,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,22,15:15
16,Morgan Rielly,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,27,20:58
17,John Tavares,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,24,19:14
18,Nikita Zaitsev,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,26,20:21
19,Michael Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:56
