Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,13,10:50
2,Tyler Ennis,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:48
3,Frederik Gauthier,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,12,8:38
4,Ron Hainsey,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,30,22:40
5,Zach Hyman,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,23,16:15
6,Andreas Johnsson,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,26,17:53
7,Nazem Kadri,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,20,15:17
8,Kasperi Kapanen,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,16:52
9,Martin Marinčin,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,13:27
10,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,14:59
11,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,28,20:26
12,Auston Matthews,1,1,2,0,0,1,0,0,0,1,0,0,6,16.7,26,20:55
13,Jake Muzzin,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,33,26:47
14,William Nylander,1,0,1,-1,0,1,0,0,0,0,0,0,7,14.3,26,19:12
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:29
16,Morgan Rielly,0,0,0,-1,0,0,0,0,0,0,0,0,0,,33,25:09
17,John Tavares,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,20:48
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,29,24:44
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,64:51
