Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,1,0,0,0,0,0,0,0,1,1,0.0,21,14:39
2,Travis Dermott,0,1,1,2,0,0,0,0,0,1,0,0,0,,23,16:00
3,Tyler Ennis,1,0,1,2,0,1,0,0,1,0,0,0,1,100.0,12,7:14
4,Jake Gardiner,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,22,16:30
5,Frederik Gauthier,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,15,7:01
6,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,22:14
7,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,20:19
8,Andreas Johnsson,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,15:23
9,Kasperi Kapanen,1,1,2,3,0,0,0,1,0,1,0,0,6,16.7,26,17:58
10,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,12:45
11,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,25,21:02
12,Auston Matthews,1,0,1,1,2,1,0,0,0,0,0,0,4,25.0,23,18:07
13,Trevor Moore,0,1,1,2,0,0,0,0,0,1,0,0,0,,12,6:29
14,Jake Muzzin,0,1,1,3,2,0,0,0,0,1,0,0,1,0.0,27,20:12
15,William Nylander,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,13:31
16,Morgan Rielly,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,29,23:00
17,John Tavares,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,22,19:01
18,Nikita Zaitsev,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,20:31
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
