Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,20,14:03
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,16:27
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,15,10:09
4,Jake Gardiner,0,1,1,2,0,0,0,0,0,0,1,0,2,0.0,29,20:42
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:37
6,Ron Hainsey,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,30,22:57
7,Zach Hyman,1,0,1,2,0,0,0,1,0,0,0,0,2,50.0,31,22:09
8,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,12:25
9,Nazem Kadri,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,23,15:43
10,Kasperi Kapanen,0,2,2,3,0,0,0,0,0,2,0,0,1,0.0,23,14:17
11,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,8:44
12,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,14:00
13,Patrick Marleau,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,24,15:26
14,Mitch Marner,0,2,2,2,0,0,0,0,0,1,1,0,6,0.0,28,20:53
15,Igor Ozhiganov,0,0,0,1,4,0,0,0,0,0,0,0,0,,23,12:48
16,Morgan Rielly,2,0,2,2,0,1,1,0,0,0,0,0,3,66.7,30,23:09
17,John Tavares,1,1,2,2,0,1,0,0,1,1,0,0,6,16.7,26,20:26
18,Nikita Zaitsev,0,0,0,2,0,0,0,0,0,0,0,0,0,,28,20:20
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:56
