Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:40
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,14:20
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,7:44
4,Jake Gardiner,0,2,2,2,0,0,0,0,0,2,0,0,1,0.0,28,22:40
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,19:29
6,Zach Hyman,0,0,0,0,4,0,0,0,0,0,0,0,3,0.0,24,16:33
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:31
8,Nazem Kadri,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,24,17:00
9,Kasperi Kapanen,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,26,17:54
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,10:44
11,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,22,13:54
12,Mitch Marner,2,0,2,1,2,2,0,0,0,0,0,0,3,66.7,26,20:42
13,Auston Matthews,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,19:44
14,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,26,17:24
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,13:32
16,Morgan Rielly,0,2,2,1,0,0,0,0,0,2,0,0,4,0.0,32,27:04
17,John Tavares,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,26,21:03
18,Nikita Zaitsev,0,1,1,1,0,0,0,0,0,1,0,0,0,,29,20:04
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,62:29
