Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:07
2,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,8:31
3,Ron Hainsey,0,1,1,1,0,0,0,0,0,1,0,0,0,,26,19:31
4,Zach Hyman,0,0,0,3,0,0,0,0,0,0,0,0,1,0.0,24,18:42
5,Andreas Johnsson,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:50
6,Kasperi Kapanen,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,24,17:08
7,Martin Marinčin,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,22,15:30
8,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,17,14:18
9,Mitch Marner,1,2,3,3,2,1,0,0,0,2,0,0,4,25.0,25,19:37
10,Auston Matthews,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,21,18:27
11,Trevor Moore,0,1,1,0,0,0,0,0,0,1,0,0,0,,15,8:35
12,Jake Muzzin,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,20:19
13,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,15:05
14,Igor Ozhiganov,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,21,15:55
15,Nic Petan,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,13,7:45
16,Morgan Rielly,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,26,24:32
17,John Tavares,1,2,3,3,2,1,0,0,0,2,0,0,3,33.3,24,19:44
18,Nikita Zaitsev,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,26,20:24
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
