Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,10:28
2,Travis Dermott,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,17,10:40
3,Jake Gardiner,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,33,24:49
4,Frederik Gauthier,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,6:00
5,Ron Hainsey,0,0,0,2,0,0,0,0,0,0,0,0,0,,31,23:34
6,Zach Hyman,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,25,17:55
7,Andreas Johnsson,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,17,13:13
8,Nazem Kadri,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,23,15:41
9,Kasperi Kapanen,0,1,1,3,0,0,0,0,0,1,0,0,4,0.0,30,18:04
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,8:44
11,Patrick Marleau,1,1,2,2,0,1,0,0,0,1,0,0,1,100.0,21,15:53
12,Mitch Marner,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,23,19:11
13,Auston Matthews,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,17:30
14,William Nylander,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,15:08
15,Igor Ozhiganov,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:00
16,Morgan Rielly,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,32,22:21
17,John Tavares,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,23,18:41
18,Nikita Zaitsev,0,2,2,1,0,0,0,0,0,2,0,0,0,,32,25:54
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
