Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,24,14:07
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,20:48
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:46
4,Jake Gardiner,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:47
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,9:55
6,Ron Hainsey,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,19:28
7,Andreas Johnsson,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:34
8,Nazem Kadri,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,20,13:06
9,Kasperi Kapanen,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,18:46
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,12:41
11,Martin Marinčin,0,1,1,0,2,0,0,0,0,1,0,0,4,0.0,29,19:04
12,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,17:33
13,Mitch Marner,1,2,3,1,0,0,1,0,0,1,1,0,3,33.3,26,18:26
14,Auston Matthews,2,2,4,2,0,1,1,0,1,0,2,0,3,66.7,25,17:41
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,11:37
16,Morgan Rielly,0,4,4,2,0,0,0,0,0,2,2,0,2,0.0,27,19:27
17,John Tavares,2,0,2,1,0,1,1,0,0,0,0,0,4,50.0,24,16:40
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,30,21:02
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
