Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:47
2,Ron Hainsey,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,33,24:21
3,Justin Holl,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:43
4,Zach Hyman,1,0,1,1,4,1,0,0,0,0,0,0,2,50.0,24,17:12
5,Andreas Johnsson,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,22,15:01
6,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:56
7,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,23,15:56
8,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,17:18
9,Mitch Marner,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,31,22:30
10,Auston Matthews,1,1,2,2,0,1,0,0,0,1,0,0,7,14.3,24,19:39
11,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,5:41
12,Jake Muzzin,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,34,24:13
13,William Nylander,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,23,17:23
14,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,8:42
15,Nic Petan,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:47
16,Morgan Rielly,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,32,25:25
17,John Tavares,1,1,2,2,0,1,0,0,0,1,0,0,6,16.7,27,19:57
18,Nikita Zaitsev,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,32,23:41
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
