Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:52
2,Tyler Ennis,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,8,6:10
3,Frederik Gauthier,0,0,0,-3,0,0,0,0,0,0,0,0,0,,8,6:25
4,Ron Hainsey,0,0,0,-2,0,0,0,0,0,0,0,0,0,,27,20:41
5,Andreas Johnsson,1,1,2,1,0,1,0,0,0,1,0,0,5,20.0,23,17:32
6,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,25,17:46
7,Martin Marinčin,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:51
8,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,18:20
9,Mitch Marner,0,2,2,0,0,0,0,0,0,1,1,0,3,0.0,25,20:06
10,Auston Matthews,1,1,2,1,0,1,0,0,0,0,1,0,5,20.0,24,21:37
11,Trevor Moore,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,23,14:08
12,Jake Muzzin,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,24:54
13,William Nylander,0,2,2,1,0,0,0,0,0,2,0,0,5,0.0,23,18:57
14,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,14,11:24
15,Nic Petan,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,8,5:57
16,Morgan Rielly,1,1,2,1,0,0,1,0,0,1,0,0,4,25.0,28,26:37
17,John Tavares,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,24,21:58
18,Nikita Zaitsev,0,0,0,-2,0,0,0,0,0,0,0,0,0,,24,19:58
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20:00
20,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,36:47
