Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:53
2,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,7:35
3,Frederik Gauthier,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,7:53
4,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,33,22:55
5,Zach Hyman,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,25,17:47
6,Andreas Johnsson,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:30
7,Nazem Kadri,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,18,12:50
8,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,18:50
9,Martin Marinčin,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,12:43
10,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,13:18
11,Mitch Marner,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,27,19:23
12,Auston Matthews,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,18:50
13,Jake Muzzin,1,0,1,0,2,1,0,0,1,0,0,0,4,25.0,32,22:44
14,William Nylander,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,18,12:39
15,Igor Ozhiganov,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,15,11:22
16,Morgan Rielly,1,0,1,0,2,0,1,0,0,0,0,0,6,16.7,34,22:04
17,John Tavares,1,2,3,1,0,1,0,0,0,1,1,0,5,20.0,25,18:29
18,Nikita Zaitsev,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,33,25:15
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
