Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:39
2,Travis Dermott,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,18:16
3,Tyler Ennis,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,12,8:05
4,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,22:26
5,Frederik Gauthier,0,1,1,1,0,0,0,0,0,1,0,0,0,,12,7:26
6,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,20:22
7,Zach Hyman,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,23,18:23
8,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:06
9,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,18:28
10,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,18:09
11,Josh Leivo,1,0,1,0,0,0,1,0,1,0,0,0,1,100.0,13,9:03
12,Pär Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:53
13,Patrick Marleau,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,21,16:53
14,Mitch Marner,0,3,3,2,0,0,0,0,0,3,0,0,2,0.0,23,21:49
15,Igor Ozhiganov,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,18,13:56
16,Morgan Rielly,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,25,23:05
17,John Tavares,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,23,21:02
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,20:15
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
