Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,21,14:11
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,18:10
3,Tyler Ennis,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,5:49
4,Jake Gardiner,1,1,2,1,0,1,0,0,0,1,0,0,1,100.0,32,24:48
5,Frederik Gauthier,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,5:23
6,Ron Hainsey,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,29,20:31
7,Zach Hyman,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,18:23
8,Andreas Johnsson,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:38
9,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,16:57
10,Kasperi Kapanen,0,1,1,3,0,0,0,0,0,1,0,0,1,0.0,25,19:07
11,Pär Lindholm,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,6:52
12,Patrick Marleau,1,0,1,2,2,1,0,0,0,0,0,0,2,50.0,27,20:20
13,Mitch Marner,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,31,22:20
14,Auston Matthews,2,1,3,3,0,2,0,0,1,1,0,0,5,40.0,28,23:22
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:48
16,Morgan Rielly,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,32,25:50
17,John Tavares,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,30,22:00
18,Nikita Zaitsev,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,29,20:22
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,64:57
