Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,17:23
2,Travis Dermott,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,22,17:17
3,Jake Gardiner,0,1,1,0,0,0,0,0,0,1,0,0,0,,25,22:06
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,8:17
5,Ron Hainsey,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,26,19:05
6,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,16:32
7,Andreas Johnsson,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,9:25
8,Nazem Kadri,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,19,17:33
9,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:55
10,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,15,11:05
11,Pär Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,14:27
12,Patrick Marleau,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:34
13,Mitch Marner,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,26,19:55
14,Auston Matthews,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,20,17:30
15,Igor Ozhiganov,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,14:00
16,Morgan Rielly,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,30,24:37
17,John Tavares,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,16:58
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,17:52
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:29
