Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:14
2,Travis Dermott,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,12:50
3,Tyler Ennis,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,12,9:59
4,Jake Gardiner,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,18:39
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:48
6,Ron Hainsey,0,0,0,3,0,0,0,0,0,0,0,0,0,,30,21:17
7,Zach Hyman,2,0,2,1,0,2,0,0,1,0,0,0,2,100.0,28,19:53
8,Andreas Johnsson,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,22,15:18
9,Kasperi Kapanen,0,1,1,0,0,0,0,0,0,1,0,0,0,,27,19:32
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:01
11,Patrick Marleau,0,2,2,1,0,0,0,0,0,1,1,0,3,0.0,18,13:34
12,Mitch Marner,0,2,2,3,0,0,0,0,0,2,0,0,6,0.0,30,18:24
13,Auston Matthews,1,1,2,0,0,0,1,0,0,1,0,0,5,20.0,23,16:28
14,Jake Muzzin,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,27,18:43
15,William Nylander,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,21,15:16
16,Morgan Rielly,0,2,2,3,0,0,0,0,0,1,1,0,4,0.0,31,24:45
17,John Tavares,0,1,1,1,0,0,0,0,0,0,1,0,3,0.0,24,17:16
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,20:35
19,Frederik Andersen,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,60:00
