Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,20,16:05
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,17:57
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,8:31
4,Jake Gardiner,0,0,0,-1,4,0,0,0,0,0,0,0,0,,25,22:17
5,Frederik Gauthier,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:58
6,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,21:20
7,Zach Hyman,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,23,21:24
8,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:37
9,Nazem Kadri,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,19,17:07
10,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:35
11,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,7:52
12,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:07
13,Patrick Marleau,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,18,15:35
14,Mitch Marner,1,0,1,1,2,1,0,0,1,0,0,0,4,25.0,23,20:27
15,Igor Ozhiganov,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,9:48
16,Morgan Rielly,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,28,23:24
17,John Tavares,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,22,19:11
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,28,23:45
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
