Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,13:20
2,Travis Dermott,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,19,16:37
3,Jake Gardiner,0,0,0,-1,4,0,0,0,0,0,0,0,0,,23,17:59
4,Frederik Gauthier,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,8:03
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,22:56
6,Zach Hyman,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,26,19:06
7,Andreas Johnsson,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,17,9:31
8,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,16:00
9,Kasperi Kapanen,0,1,1,0,0,0,0,0,0,1,0,0,0,,22,15:08
10,Pär Lindholm,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,8:50
11,Patrick Marleau,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:24
12,Mitch Marner,0,2,2,2,0,0,0,0,0,2,0,0,3,0.0,25,20:46
13,Auston Matthews,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,21,17:11
14,Jake Muzzin,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,18:08
15,William Nylander,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:57
16,Morgan Rielly,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,28,23:03
17,John Tavares,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,23,20:22
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,20:39
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
