Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,16:28
2,Travis Dermott,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,27,21:05
3,Frederik Gauthier,0,1,1,1,0,0,0,0,0,1,0,0,0,,10,7:15
4,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,0,,28,22:07
5,Zach Hyman,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,27,18:34
6,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,8:12
7,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,13:33
8,Kasperi Kapanen,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,26,17:52
9,Pär Lindholm,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,9:49
10,Martin Marinčin,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,25,17:59
11,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,0,,19,13:35
12,Mitch Marner,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,26,20:48
13,Auston Matthews,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,25,18:57
14,William Nylander,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,16,12:05
15,Igor Ozhiganov,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,11:41
16,Morgan Rielly,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,29,27:17
17,John Tavares,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,21,18:03
18,Nikita Zaitsev,0,0,0,1,2,0,0,0,0,0,0,0,0,,24,18:07
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:33
