Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,20,12:47
2,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:11
3,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:40
4,Ron Hainsey,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,24,16:27
5,Justin Holl,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,19,14:40
6,Zach Hyman,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,24,14:30
7,Andreas Johnsson,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:50
8,Nazem Kadri,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,19,12:57
9,Martin Marinčin,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,15:51
10,Patrick Marleau,0,0,0,-2,4,0,0,0,0,0,0,0,0,,24,15:26
11,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:15
12,Auston Matthews,0,1,1,-2,0,0,0,0,0,0,1,0,9,0.0,22,18:36
13,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:47
14,Jake Muzzin,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,28,23:41
15,William Nylander,0,1,1,-2,0,0,0,0,0,0,1,0,3,0.0,25,19:25
16,Morgan Rielly,1,0,1,-3,0,1,0,0,0,0,0,0,4,25.0,26,24:55
17,John Tavares,1,1,2,-1,0,0,1,0,0,1,0,0,4,25.0,20,15:17
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,20:51
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:54
