Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,14:06
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:15
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,10:58
4,Jake Gardiner,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,27,23:00
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,9:13
6,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,20:32
7,Zach Hyman,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,26,18:45
8,Andreas Johnsson,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:00
9,Nazem Kadri,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,24,17:14
10,Kasperi Kapanen,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,24,17:58
11,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,12:03
12,Pär Lindholm,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,15:00
13,Patrick Marleau,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,24,17:51
14,Mitch Marner,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,26,19:31
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:37
16,Morgan Rielly,1,0,1,0,0,1,0,0,1,0,0,0,4,25.0,30,23:16
17,John Tavares,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,27,20:01
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,21:31
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,63:17
