Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:35
2,Travis Dermott,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,19:39
3,Jake Gardiner,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,29,21:29
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:10
5,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,19:01
6,Andreas Johnsson,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,17:11
7,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:29
8,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,15:12
9,Pär Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,8:33
10,Patrick Marleau,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,16:39
11,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,25,20:44
12,Auston Matthews,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,18:51
13,Trevor Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:33
14,William Nylander,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,18:12
15,Igor Ozhiganov,0,0,0,-2,0,0,0,0,0,0,0,0,0,,18,12:12
16,Morgan Rielly,0,0,0,-1,0,0,0,0,0,0,0,0,0,,30,22:48
17,John Tavares,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,19:44
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,24,19:04
19,Michael Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:57
