Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:06
2,Travis Dermott,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,17:12
3,Jake Gardiner,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,24,19:59
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:41
5,Ron Hainsey,0,0,0,0,2,0,0,0,0,0,0,0,0,,33,21:00
6,Zach Hyman,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,25,20:08
7,Andreas Johnsson,0,0,0,0,2,0,0,0,0,0,0,0,0,,20,15:27
8,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,4:14
9,Kasperi Kapanen,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,27,18:20
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:06
11,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:38
12,Mitch Marner,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,24,20:09
13,Auston Matthews,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,24,16:52
14,Jake Muzzin,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,19:43
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,15:19
16,Morgan Rielly,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,34,22:01
17,John Tavares,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,18:49
18,Nikita Zaitsev,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,26,20:43
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:34
