Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:05
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,13:05
3,Jake Gardiner,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,19:16
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:11
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,17:54
6,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:06
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:13
8,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,19,15:23
9,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,28,19:53
10,Pär Lindholm,0,0,0,0,2,0,0,0,0,0,0,0,0,,13,9:19
11,Patrick Marleau,1,1,2,2,2,1,0,0,0,1,0,0,3,33.3,23,17:19
12,Mitch Marner,0,0,0,1,4,0,0,0,0,0,0,0,3,0.0,26,22:34
13,Auston Matthews,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,24,21:38
14,Jake Muzzin,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,18:08
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:56
16,Morgan Rielly,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,29,28:16
17,John Tavares,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,19:37
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,16:19
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,61:55
