Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,0,0,0,0,0,0,1,0,0,0,,23,14:08
2,Travis Dermott,0,1,1,1,0,0,0,0,0,1,0,0,0,,23,16:47
3,Tyler Ennis,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,11,9:12
4,Jake Gardiner,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,30,20:47
5,Ron Hainsey,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,21:45
6,Zach Hyman,2,0,2,0,2,2,0,0,0,0,0,0,4,50.0,22,17:04
7,Andreas Johnsson,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,11:34
8,Nazem Kadri,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,20,12:57
9,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,17:38
10,Josh Leivo,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,12,9:46
11,Pär Lindholm,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,12:30
12,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,16:07
13,Mitch Marner,0,2,2,0,0,0,0,0,0,1,1,0,0,,24,17:38
14,Auston Matthews,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,21,18:07
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,12:33
16,Morgan Rielly,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,32,23:58
17,John Tavares,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,17:53
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,0,,32,23:36
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
