Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,3,0,0,0,0,0,1,0,0,0,,19,13:25
2,Travis Dermott,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,27,23:06
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:30
4,Jake Gardiner,0,0,0,3,0,0,0,0,0,0,0,0,0,,27,19:38
5,Frederik Gauthier,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,11:42
6,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,17:18
7,Zach Hyman,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,22,14:50
8,Andreas Johnsson,3,0,3,3,0,3,0,0,1,0,0,0,4,75.0,18,10:48
9,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,23,19:18
10,Kasperi Kapanen,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,18:53
11,Josh Leivo,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,13:44
12,Pär Lindholm,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,19,13:33
13,Patrick Marleau,1,0,1,1,0,1,0,0,0,0,0,0,7,14.3,23,19:23
14,Mitch Marner,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,22,14:54
15,Igor Ozhiganov,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,27,22:10
16,Morgan Rielly,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,28,18:42
17,John Tavares,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,17:00
18,Nikita Zaitsev,0,0,0,3,0,0,0,0,0,0,0,0,0,,28,19:06
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
