Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:35
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,17:20
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:31
4,Jake Gardiner,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,27,22:37
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,10:06
6,Ron Hainsey,0,0,0,-2,0,0,0,0,0,0,0,0,0,,28,19:32
7,Zach Hyman,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,24,19:15
8,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,15:44
9,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,22,15:15
10,Kasperi Kapanen,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,21,13:16
11,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,12:24
12,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:01
13,Martin Marinčin,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,15:08
14,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,23,14:53
15,Mitch Marner,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,26,18:17
16,Morgan Rielly,0,1,1,-2,0,0,0,0,0,1,0,0,4,0.0,30,21:56
17,John Tavares,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,24,18:08
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,18:09
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:52
