Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:53
2,Tyler Ennis,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,17,13:58
3,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:10
4,Ron Hainsey,0,1,1,0,0,0,0,0,0,1,0,0,0,,26,20:27
5,Justin Holl,0,0,0,-2,0,0,0,0,0,0,0,0,0,,25,17:56
6,Zach Hyman,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,22,15:08
7,Andreas Johnsson,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,15:33
8,Kasperi Kapanen,0,0,0,-3,0,0,0,0,0,0,0,0,0,,22,15:51
9,Martin Marinčin,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,23,18:14
10,Patrick Marleau,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,13:47
11,Mitch Marner,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,24,18:18
12,Auston Matthews,0,0,0,-3,2,0,0,0,0,0,0,0,4,0.0,24,20:59
13,Trevor Moore,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,16,12:22
14,Jake Muzzin,0,0,0,-2,0,0,0,0,0,0,0,0,0,,26,17:50
15,William Nylander,0,0,0,-2,0,0,0,0,0,0,0,0,5,0.0,21,14:59
16,Morgan Rielly,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,23:22
17,John Tavares,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,22,17:00
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,18:13
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
