Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,13:51
2,Travis Dermott,0,1,1,0,0,0,0,0,0,1,0,0,0,,25,20:36
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,18,14:05
4,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:00
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,9:45
6,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,17:17
7,Zach Hyman,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,23,15:34
8,Andreas Johnsson,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,19,14:20
9,Nazem Kadri,2,0,2,-1,0,0,2,0,0,0,0,0,4,50.0,23,17:17
10,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,17:38
11,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:15
12,Pär Lindholm,0,1,1,1,0,0,0,0,0,1,0,0,0,,21,14:20
13,Patrick Marleau,0,1,1,-1,0,0,0,0,0,0,1,0,2,0.0,21,16:23
14,Mitch Marner,0,2,2,1,2,0,0,0,0,0,2,0,3,0.0,27,18:43
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,15:55
16,Morgan Rielly,1,1,2,1,2,1,0,0,0,0,1,0,3,33.3,27,19:09
17,John Tavares,1,2,3,1,0,0,1,0,1,1,1,0,4,25.0,27,19:50
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,27,19:02
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
