Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,14:58
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:17
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:18
4,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,22:07
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5:38
6,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,16:01
7,Zach Hyman,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:17
8,Andreas Johnsson,1,0,1,1,0,1,0,0,0,0,0,0,10,10.0,22,18:09
9,Kasperi Kapanen,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,17:21
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:00
11,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,16:27
12,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,20:16
13,Auston Matthews,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,24,20:22
14,Jake Muzzin,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,24,19:56
15,William Nylander,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,21,17:21
16,Morgan Rielly,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,26,25:11
17,John Tavares,1,0,1,-1,0,1,0,0,0,0,0,0,2,50.0,24,21:21
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,0,,23,15:35
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:09
