Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:09
2,Travis Dermott,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,16:55
3,Jake Gardiner,0,0,0,-2,2,0,0,0,0,0,0,0,0,,24,23:05
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,9:26
5,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:23
6,Zach Hyman,0,0,0,-2,5,0,0,0,0,0,0,0,3,0.0,19,13:45
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:40
8,Nazem Kadri,0,0,0,-1,0,0,0,0,0,0,0,0,12,0.0,20,19:06
9,Kasperi Kapanen,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,20,16:21
10,Pär Lindholm,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:41
11,Patrick Marleau,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,20,16:19
12,Mitch Marner,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,23,20:10
13,Auston Matthews,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,20,22:00
14,Jake Muzzin,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,18:08
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,19,15:19
16,Morgan Rielly,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,26,24:01
17,John Tavares,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,22,19:39
18,Nikita Zaitsev,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,15:23
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:30
