Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,3,3,3,0,0,0,0,0,3,0,0,1,0.0,22,12:19
2,Travis Dermott,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,26,18:06
3,Tyler Ennis,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,19,11:43
4,Jake Gardiner,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,25,20:03
5,Ron Hainsey,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,20:17
6,Zach Hyman,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,23,16:11
7,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:45
8,Nazem Kadri,0,3,3,2,0,0,0,0,0,3,0,0,1,0.0,20,15:33
9,Kasperi Kapanen,0,0,0,1,0,0,0,0,0,0,0,0,0,,21,15:56
10,Pär Lindholm,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,22,11:30
11,Patrick Marleau,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,20,15:59
12,Mitch Marner,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,22,17:28
13,Auston Matthews,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,21,18:36
14,William Nylander,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,22,13:09
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,24,16:48
16,Morgan Rielly,1,0,1,3,0,1,0,0,0,0,0,0,2,50.0,24,21:40
17,John Tavares,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,23,17:47
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,18:10
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
