Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,12:55
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,18:58
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,11:09
4,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,22:30
5,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,6:51
6,Ron Hainsey,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,19:04
7,Justin Holl,0,0,0,-1,2,0,0,0,0,0,0,0,0,,19,12:53
8,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,18:50
9,Andreas Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,12:01
10,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,19:50
11,Kasperi Kapanen,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,23,16:02
12,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,12:34
13,Pär Lindholm,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,11:35
14,Patrick Marleau,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,26,20:51
15,Mitch Marner,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,26,23:12
16,Morgan Rielly,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,28,23:04
17,John Tavares,0,1,1,-1,0,0,0,0,0,0,1,0,5,0.0,25,20:26
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:55
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,57:20
