Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:11
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,14:11
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,5:19
4,Jake Gardiner,0,0,0,2,0,0,0,0,0,0,0,0,0,,24,23:04
5,Frederik Gauthier,0,1,1,0,0,0,0,0,0,1,0,0,0,,10,6:57
6,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,25,20:11
7,Andreas Johnsson,1,2,3,3,0,1,0,0,0,2,0,0,3,33.3,20,15:09
8,Nazem Kadri,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,17:55
9,Kasperi Kapanen,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:46
10,Pär Lindholm,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,10:47
11,Martin Marinčin,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,13:40
12,Patrick Marleau,1,0,1,-1,2,1,0,0,0,0,0,0,1,100.0,21,17:28
13,Mitch Marner,2,1,3,2,0,2,0,0,1,1,0,0,3,66.7,24,19:23
14,Auston Matthews,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,22,19:15
15,William Nylander,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,16:08
16,Morgan Rielly,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,26,22:40
17,John Tavares,0,2,2,2,2,0,0,0,0,2,0,0,6,0.0,23,18:26
18,Nikita Zaitsev,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,24,22:17
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:13
