Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:17
2,Travis Dermott,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,17:42
3,Jake Gardiner,0,0,0,-2,2,0,0,0,0,0,0,0,0,,29,21:00
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:51
5,Ron Hainsey,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,31,21:57
6,Zach Hyman,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,20:25
7,Andreas Johnsson,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,20,13:06
8,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,22,14:54
9,Kasperi Kapanen,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,25,16:32
10,Pär Lindholm,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,7:54
11,Patrick Marleau,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,15:57
12,Mitch Marner,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,26,20:27
13,Auston Matthews,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,23,16:52
14,William Nylander,0,0,0,-3,0,0,0,0,0,0,0,0,0,,16,12:15
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:44
16,Morgan Rielly,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,30,24:59
17,John Tavares,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,25,21:12
18,Nikita Zaitsev,0,0,0,-1,0,0,0,0,0,0,0,0,0,,26,21:28
19,Garret Sparks,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:28
