Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,2,2,1,0,0,0,0,0,1,1,0,4,0.0,21,14:36
2,Travis Dermott,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,15:32
3,Jake Gardiner,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,26,21:43
4,Frederik Gauthier,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:00
5,Ron Hainsey,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,26,23:02
6,Zach Hyman,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,17:11
7,Andreas Johnsson,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,12,8:57
8,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,14:53
9,Kasperi Kapanen,1,1,2,1,0,1,0,0,0,1,0,0,2,50.0,23,17:40
10,Josh Leivo,1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,12,8:57
11,Pär Lindholm,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,15:22
12,Patrick Marleau,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,18:31
13,Mitch Marner,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:54
14,Auston Matthews,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,24,18:40
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:13
16,Morgan Rielly,0,1,1,2,0,0,0,0,0,1,0,0,4,0.0,25,21:44
17,John Tavares,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,19:07
18,Nikita Zaitsev,0,0,0,0,2,0,0,0,0,0,0,0,0,,22,19:36
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
