Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,0,1,1,0,0,0,0,0,0,0,0,1,2,0.0,25,17:20
2,Travis Dermott,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,24,14:12
3,Jake Gardiner,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,28,19:06
4,Frederik Gauthier,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:14
5,Ron Hainsey,0,0,0,1,0,0,0,0,0,0,0,0,0,,29,19:22
6,Zach Hyman,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,26,17:58
7,Andreas Johnsson,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,7,5:32
8,Nazem Kadri,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,17,13:42
9,Kasperi Kapanen,0,2,2,0,0,0,0,0,0,2,0,0,3,0.0,29,20:25
10,Pär Lindholm,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,7:59
11,Patrick Marleau,1,1,2,0,0,1,0,0,0,1,0,0,3,33.3,26,18:42
12,Mitch Marner,1,1,2,2,0,0,0,1,0,1,0,0,4,25.0,28,20:58
13,Auston Matthews,2,1,3,1,0,1,1,0,0,1,0,0,6,33.3,27,18:30
14,Jake Muzzin,0,1,1,1,2,0,0,0,0,0,0,1,3,0.0,27,17:42
15,William Nylander,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,20,15:11
16,Morgan Rielly,1,1,2,1,0,1,0,0,1,0,1,0,4,25.0,27,20:10
17,John Tavares,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,24,19:49
18,Nikita Zaitsev,0,0,0,2,0,0,0,0,0,0,0,0,0,,27,19:08
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
