Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Connor Brown,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,20,12:45
2,Travis Dermott,0,0,0,1,0,0,0,0,0,0,0,0,0,,23,18:58
3,Tyler Ennis,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,12:19
4,Jake Gardiner,0,0,0,0,0,0,0,0,0,0,0,0,0,,29,20:10
5,Frederik Gauthier,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:00
6,Ron Hainsey,1,1,2,2,0,1,0,0,0,1,0,0,2,50.0,29,18:13
7,Zach Hyman,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,21,15:22
8,Nazem Kadri,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,15:15
9,Kasperi Kapanen,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,25,16:44
10,Josh Leivo,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:58
11,Pär Lindholm,0,1,1,2,0,0,0,0,0,1,0,0,0,,22,13:46
12,Patrick Marleau,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,25,16:57
13,Mitch Marner,1,3,4,0,0,1,0,0,0,1,2,0,4,25.0,24,18:49
14,Auston Matthews,2,0,2,-1,0,1,1,0,0,0,0,0,4,50.0,25,18:30
15,Igor Ozhiganov,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:25
16,Morgan Rielly,0,4,4,0,0,0,0,0,0,2,2,0,3,0.0,31,20:33
17,John Tavares,2,0,2,0,0,1,1,0,1,0,0,0,3,66.7,24,18:45
18,Nikita Zaitsev,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,31,22:12
19,Frederik Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00
